transport	trainnumber	departcity	arrivecity	departtime	arrivetime	price	id
F	F19	XA	HH	08:00:00	10:00:00	600	71
F	F20	XA	HH	21:30:00	23:30:00	600	72
F	F21	DL	JN	08:00:00	10:00:00	600	73
F	F21	JN	TB	10:00:00	13:00:00	900	74
F	F22	DL	JN	20:00:00	22:00:00	600	75
F	F22	JN	TB	22:00:00	01:00:00	900	76
F	F23	TB	JN	08:30:00	11:30:00	900	77
F	F23	JN	DL	11:30:00	13:30:00	600	78
F	F24	TB	JN	20:00:00	23:00:00	900	79
F	F24	JN	DL	23:00:00	01:00:00	600	80
H	H01	BJ	TJ	13:00:00	14:00:00	50	81
H	H01	TJ	XA	14:00:00	23:00:00	200	82
H	H01	XA	CD	23:00:00	02:00:00	90	83
H	H02	CD	XA	16:00:00	19:00:00	90	84
H	H02	XA	TJ	19:00:00	04:00:00	200	85
H	H02	TJ	BJ	04:00:00	05:00:00	50	86
H	H03	HA	DL	09:00:00	12:00:00	90	87
H	H03	DL	JN	12:00:00	18:00:00	150	88
H	H03	JN	LA	18:00:00	21:00:00	90	89
H	H04	LA	JN	15:00:00	18:00:00	90	90
H	H04	JN	DL	18:00:00	00:00:00	150	91
H	H04	DL	HA	00:00:00	03:00:00	90	92
H	H05	LA	XA	20:00:00	04:00:00	180	93
H	H05	XA	TJ	04:00:00	13:00:00	200	94
H	H05	TJ	DL	13:00:00	16:00:00	90	95
H	H06	DL	TJ	10:00:00	13:00:00	90	96
H	H06	TJ	XA	13:00:00	21:00:00	200	97
H	H06	XA	LA	21:00:00	05:00:00	180	98
H	H07	WL	YC	07:00:00	18:00:00	230	99
H	H07	YC	HH	18:00:00	21:00:00	90	100
H	H07	HH	XA	21:00:00	02:00:00	120	101
H	H08	XA	HH	13:00:00	18:00:00	120	102
H	H08	HH	YC	18:00:00	21:00:00	90	103
H	H08	YC	WL	21:00:00	08:00:00	230	104
H	H09	YC	XA	14:00:00	18:00:00	110	105
H	H09	XA	WH	18:00:00	22:00:00	110	106
H	H10	WH	XA	07:00:00	11:00:00	110	107
H	H10	XA	YC	11:00:00	15:00:00	110	108
H	H11	HA	BJ	22:00:00	09:00:00	240	109
H	H11	BJ	CD	09:00:00	23:00:00	290	110
H	H12	CD	BJ	12:00:00	02:00:00	290	111
H	H12	BJ	HA	02:00:00	13:00:00	240	112
H	H13	BJ	HH	15:00:00	22:00:00	180	113
H	H13	HH	WL	22:00:00	16:00:00	350	114
H	H14	WL	HH	08:00:00	02:00:00	350	115
H	H14	HH	BJ	02:00:00	09:00:00	180	116
